index,inequality,answer,audio_file
0,15+7>7,True,inequality_audios/inequality_0.mp3
1,20/12>21,False,inequality_audios/inequality_1.mp3
2,13*5<38,False,inequality_audios/inequality_2.mp3
3,8-10<32,True,inequality_audios/inequality_3.mp3
4,5-13<7,True,inequality_audios/inequality_4.mp3
5,16+19>36,False,inequality_audios/inequality_5.mp3
6,6*8<36,False,inequality_audios/inequality_6.mp3
7,1+5<22,True,inequality_audios/inequality_7.mp3
8,19/4<22,True,inequality_audios/inequality_8.mp3
9,2/9>2,False,inequality_audios/inequality_9.mp3
10,4+2<25,True,inequality_audios/inequality_10.mp3
11,15*3<25,False,inequality_audios/inequality_11.mp3
12,2*3<11,True,inequality_audios/inequality_12.mp3
13,17-20>28,False,inequality_audios/inequality_13.mp3
14,15*10<2,False,inequality_audios/inequality_14.mp3
15,12/2<5,False,inequality_audios/inequality_15.mp3
16,3-1<33,True,inequality_audios/inequality_16.mp3
17,17*6<4,False,inequality_audios/inequality_17.mp3
18,6+8>29,False,inequality_audios/inequality_18.mp3
19,18-2>3,True,inequality_audios/inequality_19.mp3
